iter	Passed	Remaining
1175	17575	131878
1176	17591	131865
1177	17605	131848
1178	17620	131835
1179	17636	131822
1180	17650	131804
1181	17664	131781
1182	17678	131760
1183	17693	131741
1184	17707	131720
1185	17721	131699
1186	17735	131678
1187	17750	131661
1188	17764	131640
1189	17777	131611
1190	17790	131584
1191	17803	131551
1192	17816	131526
1193	17830	131503
1194	17843	131478
1195	17857	131455
1196	17871	131430
1197	17885	131408
1198	17900	131396
1199	17915	131381
1200	17930	131364
1201	17947	131365
1202	17963	131356
1203	17979	131353
1204	17994	131335
1205	18008	131315
1206	18022	131292
1207	18036	131273
1208	18051	131258
1209	18066	131242
1210	18081	131225
1211	18095	131204
1212	18113	131214
1213	18128	131196
1214	18141	131172
1215	18155	131150
1216	18169	131129
1217	18183	131106
1218	18197	131085
1219	18212	131066
1220	18227	131055
1221	18241	131034
1222	18255	131011
1223	18269	130990
1224	18282	130961
1225	18295	130937
1226	18309	130912
1227	18322	130886
1228	18336	130860
1229	18350	130840
1230	18363	130814
1231	18377	130787
1232	18390	130762
1233	18403	130736
1234	18418	130718
1235	18430	130687
1236	18445	130669
1237	18462	130666
1238	18476	130647
1239	18489	130621
1240	18503	130596
1241	18517	130575
1242	18530	130551
1243	18543	130522
1244	18557	130499
1245	18570	130469
1246	18584	130448
1247	18596	130416
1248	18611	130398
1249	18625	130376
1250	18639	130358
1251	18654	130343
1252	18670	130334
1253	18682	130302
1254	18696	130282
1255	18715	130291
1256	18730	130280
1257	18743	130252
1258	18760	130250
1259	18774	130232
1260	18788	130208
1261	18803	130193
1262	18817	130173
1263	18830	130145
1264	18846	130134
1265	18861	130124
1266	18875	130101
1267	18888	130077
1268	18904	130064
1269	18917	130042
1270	18930	130011
1271	18944	129989
1272	18959	129974
1273	18974	129962
1274	18989	129944
1275	19002	129919
1276	19016	129901
1277	19030	129874
1278	19044	129854
1279	19057	129831
1280	19071	129810
1281	19090	129822
1282	19103	129795
1283	19117	129769
1284	19131	129749
1285	19144	129726
1286	19158	129705
1287	19172	129682
1288	19186	129658
1289	19200	129640
1290	19214	129620
1291	19230	129610
1292	19245	129601
1293	19259	129580
1294	19274	129561
1295	19287	129538
1296	19303	129530
1297	19317	129504
1298	19331	129487
1299	19345	129468
1300	19359	129447
1301	19376	129442
1302	19391	129428
1303	19404	129403
1304	19417	129377
1305	19432	129360
1306	19446	129337
1307	19459	129315
1308	19473	129295
1309	19487	129273
1310	19504	129269
1311	19518	129248
1312	19531	129225
1313	19545	129205
1314	19559	129182
1315	19572	129153
1316	19585	129126
1317	19598	129101
1318	19612	129078
1319	19626	129059
1320	19639	129029
1321	19652	129007
1322	19666	128986
1323	19679	128955
1324	19692	128930
1325	19707	128914
1326	19721	128895
1327	19735	128875
1328	19749	128854
1329	19762	128830
1330	19776	128805
1331	19789	128779
1332	19803	128762
1333	19817	128737
1334	19830	128713
1335	19845	128696
1336	19859	128679
1337	19873	128655
1338	19886	128630
1339	19899	128602
1340	19912	128579
1341	19926	128557
1342	19940	128536
1343	19953	128510
1344	19967	128487
1345	19980	128465
1346	19993	128438
1347	20007	128414
1348	20022	128403
1349	20037	128387
1350	20052	128375
1351	20069	128374
1352	20086	128374
1353	20101	128355
1354	20114	128332
1355	20128	128311
1356	20142	128292
1357	20156	128273
1358	20169	128247
1359	20183	128224
1360	20197	128203
1361	20211	128185
1362	20227	128175
1363	20241	128158
1364	20255	128138
1365	20268	128109
1366	20282	128091
1367	20297	128078
1368	20313	128065
1369	20329	128060
1370	20342	128036
1371	20357	128022
1372	20371	128002
1373	20385	127980
1374	20399	127962
1375	20415	127950
1376	20429	127934
1377	20444	127921
1378	20459	127903
1379	20473	127883
1380	20486	127859
1381	20501	127844
1382	20516	127830
1383	20531	127817
1384	20547	127808
1385	20562	127797
1386	20577	127782
1387	20593	127772
1388	20607	127755
1389	20620	127731
1390	20634	127709
1391	20648	127685
1392	20661	127661
1393	20675	127640
1394	20689	127624
1395	20703	127600
1396	20715	127571
1397	20729	127549
1398	20743	127527
1399	20758	127515
1400	20771	127491
1401	20785	127468
1402	20800	127454
1403	20815	127440
1404	20828	127418
1405	20843	127404
1406	20858	127391
1407	20872	127369
1408	20887	127356
1409	20902	127342
1410	20916	127321
1411	20930	127300
1412	20944	127284
1413	20957	127256
1414	20970	127231
1415	20984	127210
1416	20997	127185
1417	21010	127160
1418	21024	127139
1419	21037	127114
1420	21051	127092
1421	21069	127097
1422	21083	127081
1423	21097	127060
1424	21111	127037
1425	21124	127016
1426	21138	126995
1427	21152	126974
1428	21166	126954
1429	21179	126931
1430	21193	126908
1431	21207	126892
1432	21220	126865
1433	21234	126846
1434	21248	126825
1435	21261	126800
1436	21274	126774
1437	21288	126751
1438	21301	126727
1439	21314	126704
1440	21328	126684
1441	21342	126665
1442	21356	126644
1443	21370	126625
1444	21383	126601
1445	21399	126588
1446	21413	126574
1447	21429	126561
1448	21444	126549
1449	21459	126539
1450	21474	126523
1451	21489	126507
1452	21502	126487
1453	21518	126475
1454	21532	126455
1455	21546	126438
1456	21561	126423
1457	21576	126408
1458	21589	126386
1459	21605	126377
1460	21619	126355
1461	21633	126339
1462	21648	126323
1463	21663	126310
1464	21677	126292
1465	21692	126277
1466	21708	126267
1467	21724	126260
1468	21738	126243
1469	21752	126225
1470	21766	126205
1471	21781	126188
1472	21794	126166
1473	21808	126148
1474	21821	126122
1475	21837	126114
1476	21851	126091
1477	21864	126070
1478	21878	126050
1479	21891	126024
1480	21905	126004
1481	21919	125987
1482	21934	125971
1483	21949	125958
1484	21963	125938
1485	21978	125925
1486	21992	125907
1487	22006	125887
1488	22021	125871
1489	22035	125856
1490	22050	125841
1491	22065	125824
1492	22078	125803
1493	22093	125786
1494	22109	125781
1495	22122	125757
1496	22136	125737
1497	22149	125710
1498	22163	125690
1499	22176	125666
1500	22188	125637
1501	22202	125618
1502	22215	125594
1503	22228	125568
1504	22242	125547
1505	22256	125526
1506	22270	125507
1507	22283	125486
1508	22297	125464
1509	22311	125447
1510	22324	125423
1511	22337	125396
1512	22350	125371
1513	22363	125347
1514	22377	125326
1515	22391	125306
1516	22404	125286
1517	22418	125263
1518	22431	125240
1519	22446	125230
1520	22460	125210
1521	22473	125186
