iter	Passed	Remaining
1044	17636	151129
1045	17652	151113
1046	17668	151085
1047	17685	151065
1048	17701	151040
1049	17717	151020
1050	17733	150997
1051	17751	150985
1052	17767	150968
1053	17784	150947
1054	17800	150925
1055	17816	150899
1056	17833	150887
1057	17851	150876
1058	17857	150771
1059	17868	150705
1060	17892	150746
1061	17916	150790
1062	17933	150770
1063	17950	150754
1064	17966	150736
1065	17983	150714
1066	18000	150704
1067	18016	150680
1068	18033	150660
1069	18049	150639
1070	18066	150625
1071	18082	150596
1072	18101	150601
1073	18118	150585
1074	18123	150468
1075	18141	150463
1076	18158	150442
1077	18174	150421
1078	18190	150397
1079	18207	150380
1080	18224	150365
1081	18241	150348
1082	18257	150327
1083	18276	150327
1084	18292	150304
1085	18308	150278
1086	18324	150258
1087	18342	150245
1088	18358	150225
1089	18375	150203
1090	18391	150185
1091	18408	150163
1092	18424	150139
1093	18440	150121
1094	18456	150098
1095	18473	150080
1096	18490	150065
1097	18507	150047
1098	18524	150032
1099	18542	150022
1100	18558	150005
1101	18575	149990
1102	18593	149976
1103	18610	149962
1104	18627	149943
1105	18643	149924
1106	18660	149907
1107	18677	149891
1108	18695	149884
1109	18712	149869
1110	18730	149857
1111	18748	149849
1112	18757	149775
1113	18773	149752
1114	18790	149733
1115	18806	149710
1116	18824	149700
1117	18840	149680
1118	18856	149658
1119	18874	149643
1120	18891	149628
1121	18915	149672
1122	18936	149683
1123	18952	149666
1124	18969	149649
1125	18986	149628
1126	19002	149612
1127	19020	149597
1128	19037	149582
1129	19053	149563
1130	19071	149551
1131	19088	149537
1132	19104	149514
1133	19120	149494
1134	19137	149476
1135	19153	149451
1136	19170	149434
1137	19188	149430
1138	19205	149413
1139	19222	149393
1140	19239	149379
1141	19257	149370
1142	19273	149351
1143	19290	149332
1144	19306	149310
1145	19322	149288
1146	19339	149269
1147	19356	149254
1148	19373	149237
1149	19390	149224
1150	19408	149216
1151	19425	149201
1152	19442	149180
1153	19460	149171
1154	19479	149176
1155	19515	149301
1156	19534	149300
1157	19551	149287
1158	19568	149274
1159	19586	149259
1160	19603	149248
1161	19619	149226
1162	19636	149209
1163	19653	149191
1164	19670	149175
1165	19687	149157
1166	19704	149139
1167	19721	149128
1168	19737	149105
1169	19754	149090
1170	19771	149070
1171	19788	149054
1172	19805	149039
1173	19823	149029
1174	19842	149027
1175	19858	149009
1176	19875	148992
1177	19892	148972
1178	19907	148942
1179	19930	148974
1180	19953	148997
1181	19969	148976
1182	19985	148952
1183	20001	148933
1184	20018	148910
1185	20034	148891
1186	20051	148871
1187	20067	148854
1188	20088	148864
1189	20105	148846
1190	20121	148827
1191	20140	148823
1192	20157	148803
1193	20173	148784
1194	20190	148770
1195	20207	148754
1196	20224	148732
1197	20243	148732
1198	20259	148709
1199	20276	148696
1200	20294	148683
1201	20310	148661
1202	20326	148640
1203	20343	148620
1204	20359	148595
1205	20374	148566
1206	20391	148549
1207	20407	148529
1208	20423	148508
1209	20440	148492
1210	20457	148474
1211	20474	148455
1212	20491	148444
1213	20508	148423
1214	20525	148409
1215	20542	148390
1216	20559	148375
1217	20578	148373
1218	20595	148357
1219	20611	148337
1220	20628	148321
1221	20646	148308
1222	20664	148301
1223	20680	148280
1224	20698	148265
1225	20714	148246
1226	20731	148229
1227	20747	148205
1228	20763	148185
